YEAR,DOY,T2M,T2M_MIN,T2M_MAX,T2MDEW,PRECTOTCORR,RH2M,GWETPROF,GWETROOT,GWETTOP
2019,1,-4.96,-9.49,1.33,-9.29,1.05,74.38,0.55,0.56,0.54
2019,2,-7.06,-10.49,-2.14,-9.35,3.16,88.69,0.55,0.57,0.54
2019,3,-8.49,-13.86,-1.56,-11.62,0.23,82.75,0.55,0.57,0.54
2019,4,-7.43,-11.31,-1.55,-9.87,0.76,86.44,0.56,0.57,0.54
2019,5,-9.5,-12.51,-3.38,-13.01,0.08,81.25,0.56,0.57,0.54
2019,6,-8.66,-13.3,-0.39,-16.85,0.0,54.38,0.56,0.57,0.54
2019,7,-4.91,-11.89,2.37,-15.31,0.14,46.94,0.56,0.57,0.54
2019,8,-3.71,-8.06,1.08,-7.02,3.77,80.88,0.56,0.57,0.54
2019,9,-8.62,-13.08,-2.05,-11.49,0.87,87.81,0.56,0.57,0.54
2019,10,-7.24,-13.03,-0.47,-17.28,0.01,48.69,0.56,0.57,0.54
2019,11,-6.57,-11.27,-2.79,-9.54,2.33,84.19,0.56,0.57,0.54
2019,12,-10.81,-14.51,-4.98,-13.13,0.8,89.5,0.56,0.57,0.54
2019,13,-9.92,-14.91,-0.85,-17.24,0.0,61.88,0.56,0.57,0.55
2019,14,-4.94,-12.33,2.54,-14.42,0.0,50.19,0.56,0.57,0.55
2019,15,-2.48,-6.2,2.87,-5.22,6.35,84.0,0.56,0.57,0.55
2019,16,-6.97,-11.88,-0.79,-9.19,0.38,90.69,0.56,0.57,0.55
2019,17,-7.74,-13.2,1.75,-13.85,0.01,68.94,0.56,0.58,0.55
2019,18,-2.22,-9.7,5.1,-15.06,0.36,45.0,0.56,0.58,0.55
2019,19,-2.01,-7.45,3.13,-5.11,0.09,81.94,0.56,0.58,0.55
2019,20,-4.12,-8.05,1.57,-6.59,1.69,85.94,0.57,0.58,0.55
2019,21,-9.04,-14.31,-4.67,-10.88,1.65,91.5,0.57,0.58,0.55
2019,22,-9.95,-14.77,-3.74,-12.54,0.16,86.75,0.57,0.58,0.55
2019,23,-8.58,-13.1,-2.0,-11.82,0.0,82.38,0.57,0.58,0.55
2019,24,-7.37,-11.8,-2.83,-10.51,0.0,82.5,0.57,0.58,0.55
2019,25,-8.3,-13.47,-0.71,-13.46,0.0,69.94,0.57,0.58,0.55
2019,26,-7.08,-11.04,-0.22,-15.85,0.0,53.88,0.57,0.58,0.55
2019,27,-7.73,-11.76,0.22,-15.77,0.0,56.19,0.57,0.58,0.55
2019,28,-7.2,-12.07,0.15,-12.27,0.0,70.44,0.57,0.58,0.55
2019,29,-3.48,-8.53,3.89,-11.26,0.0,56.31,0.57,0.58,0.55
2019,30,-0.09,-3.82,3.89,-5.07,1.04,70.69,0.57,0.58,0.56
2019,31,-2.82,-10.39,1.51,-4.48,4.75,90.31,0.57,0.59,0.56
2019,32,-8.23,-12.6,-1.1,-13.58,0.09,71.31,0.58,0.59,0.56
2019,33,-5.38,-10.09,1.81,-19.3,0.0,39.88,0.58,0.59,0.56
2019,34,-3.95,-8.45,1.71,-9.26,0.0,68.81,0.58,0.59,0.56
2019,35,-3.53,-8.74,2.92,-7.68,0.0,75.75,0.58,0.59,0.56
2019,36,-5.46,-10.2,-0.32,-10.15,0.42,73.38,0.58,0.59,0.56
2019,37,-11.06,-15.02,-7.3,-15.03,2.21,75.0,0.58,0.59,0.56
2019,38,-11.92,-14.8,-7.17,-15.34,1.84,77.69,0.58,0.59,0.56
2019,39,-11.24,-15.95,-4.96,-15.13,0.55,77.62,0.58,0.59,0.56
2019,40,-5.06,-10.38,-0.11,-12.88,0.0,56.0,0.58,0.59,0.56
2019,41,-2.79,-5.73,2.65,-6.06,0.07,80.62,0.58,0.59,0.57
2019,42,-1.92,-5.31,2.73,-4.22,3.89,86.62,0.58,0.59,0.57
2019,43,-3.04,-5.95,2.29,-6.56,0.88,80.06,0.59,0.59,0.58
2019,44,-0.59,-4.44,3.49,-5.27,1.76,72.06,0.59,0.59,0.58
2019,45,-3.95,-7.4,-1.87,-4.92,8.28,95.69,0.59,0.6,0.59
2019,46,-6.76,-10.74,-2.51,-8.98,1.42,88.69,0.59,0.6,0.59
2019,47,-6.13,-12.27,2.2,-11.38,0.0,70.31,0.59,0.6,0.59
2019,48,-3.55,-7.6,2.62,-8.41,1.22,70.69,0.59,0.6,0.59
2019,49,-7.79,-12.95,-1.99,-11.4,1.24,80.81,0.59,0.61,0.59
2019,50,-5.64,-11.89,1.37,-10.68,0.07,72.31,0.59,0.61,0.59
2019,51,-6.41,-10.01,-1.23,-8.99,2.47,85.88,0.59,0.61,0.59
2019,52,-10.49,-14.78,-6.2,-12.92,1.17,87.88,0.59,0.61,0.59
2019,53,-7.04,-14.82,2.05,-15.7,0.0,54.75,0.59,0.61,0.59
2019,54,-3.77,-8.17,3.37,-16.7,0.0,40.88,0.59,0.61,0.59
2019,55,-4.39,-8.34,1.98,-11.63,0.0,59.31,0.6,0.61,0.59
2019,56,-4.63,-7.85,0.11,-8.35,0.0,78.44,0.6,0.61,0.59
2019,57,-4.69,-9.88,0.61,-8.67,0.24,78.56,0.6,0.61,0.59
2019,58,-4.59,-8.83,0.44,-8.82,0.26,77.81,0.6,0.61,0.59
2019,59,-2.34,-8.42,4.52,-7.39,0.0,72.88,0.59,0.61,0.59
2019,60,-1.45,-5.91,3.9,-6.33,0.05,72.94,0.59,0.61,0.59
2019,61,1.06,-5.42,8.22,-3.52,0.41,74.94,0.59,0.61,0.59
2019,62,-1.4,-6.56,3.97,-6.95,1.69,72.19,0.6,0.61,0.59
2019,63,-2.81,-8.38,4.22,-7.47,1.91,74.75,0.6,0.61,0.59
2019,64,-2.99,-7.77,2.48,-7.53,0.03,75.19,0.6,0.61,0.59
