YEAR,DOY,T2M,T2M_MIN,T2M_MAX,T2MDEW,PRECTOTCORR,RH2M,GWETPROF,GWETROOT,GWETTOP
2019,1,-5.59,-10.21,1.38,-12.98,0.0,54.81,0.52,0.53,0.52
2019,2,-5.82,-7.61,-2.55,-9.95,0.03,74.69,0.52,0.53,0.52
2019,3,-5.92,-10.11,-0.99,-10.27,0.01,73.19,0.52,0.53,0.52
2019,4,-6.2,-10.06,0.63,-12.34,0.08,63.75,0.52,0.53,0.52
2019,5,-8.92,-11.68,-4.58,-11.7,0.49,83.75,0.52,0.53,0.52
2019,6,-9.36,-13.38,-1.94,-16.05,0.0,58.44,0.52,0.53,0.52
2019,7,-7.73,-13.87,1.26,-16.44,0.0,48.0,0.52,0.53,0.52
2019,8,-4.24,-9.47,2.06,-13.88,0.02,45.5,0.52,0.53,0.52
2019,9,-5.11,-8.85,-0.74,-8.1,0.7,81.94,0.52,0.53,0.52
2019,10,-6.58,-11.47,0.03,-15.02,0.0,50.5,0.52,0.53,0.52
2019,11,-6.69,-13.24,0.77,-14.89,0.02,51.12,0.52,0.53,0.52
2019,12,-8.47,-10.6,-5.88,-10.55,4.02,87.75,0.52,0.53,0.52
2019,13,-8.99,-14.66,-2.37,-15.21,0.05,60.06,0.52,0.53,0.52
2019,14,-7.1,-13.2,1.32,-18.2,0.0,38.0,0.52,0.53,0.52
2019,15,-3.34,-8.25,2.75,-9.95,0.29,61.19,0.52,0.53,0.52
2019,16,-5.18,-7.77,-2.24,-6.63,6.23,92.44,0.52,0.54,0.52
2019,17,-6.33,-10.46,-0.06,-11.6,0.0,66.69,0.52,0.54,0.52
2019,18,-6.27,-13.12,2.05,-16.51,0.0,44.62,0.53,0.54,0.52
2019,19,-4.81,-9.38,2.58,-19.36,0.0,31.31,0.53,0.54,0.53
2019,20,-3.47,-7.99,4.08,-10.81,0.0,56.12,0.53,0.55,0.53
2019,21,-7.54,-9.95,-4.65,-10.04,1.56,85.25,0.53,0.55,0.52
2019,22,-8.21,-11.23,-3.45,-10.76,0.2,85.25,0.53,0.55,0.52
2019,23,-7.98,-11.0,-2.89,-12.24,0.11,72.88,0.53,0.55,0.52
2019,24,-7.73,-13.17,-1.01,-13.13,0.0,65.75,0.53,0.55,0.52
2019,25,-8.39,-13.46,-1.18,-13.93,0.0,64.94,0.53,0.55,0.53
2019,26,-6.95,-13.98,0.95,-13.67,0.02,58.12,0.53,0.55,0.53
2019,27,-7.18,-11.19,-1.04,-14.54,0.0,54.94,0.53,0.55,0.53
2019,28,-8.58,-13.58,-1.63,-16.09,0.0,53.81,0.53,0.55,0.52
2019,29,-10.1,-14.11,-4.21,-16.13,0.01,60.44,0.53,0.55,0.52
2019,30,-6.54,-14.75,2.97,-14.94,0.01,49.88,0.53,0.55,0.53
2019,31,-3.05,-6.48,4.01,-7.49,5.49,73.62,0.54,0.55,0.54
2019,32,-9.7,-13.56,-6.25,-11.39,8.45,90.75,0.54,0.55,0.53
2019,33,-8.84,-14.44,-0.2,-15.9,0.01,57.12,0.54,0.55,0.54
2019,34,-6.91,-13.85,0.64,-15.38,0.0,49.06,0.54,0.55,0.55
2019,35,-4.36,-10.21,1.59,-10.55,0.0,62.0,0.54,0.55,0.55
2019,36,-4.55,-8.87,0.84,-9.31,0.1,70.56,0.55,0.55,0.55
2019,37,-12.3,-17.74,-8.32,-14.38,5.23,87.19,0.55,0.56,0.55
2019,38,-12.1,-17.59,-5.97,-16.96,0.13,67.56,0.55,0.56,0.55
2019,39,-11.96,-14.26,-8.37,-14.75,0.04,81.38,0.55,0.55,0.55
2019,40,-9.0,-18.19,-0.97,-15.88,0.03,57.88,0.55,0.55,0.55
2019,41,-5.7,-9.85,0.2,-8.94,0.41,80.19,0.55,0.56,0.55
2019,42,-3.67,-10.81,2.92,-8.56,0.37,70.5,0.55,0.56,0.56
2019,43,-5.19,-9.56,-1.64,-6.48,6.01,93.62,0.55,0.57,0.56
2019,44,-4.64,-10.03,1.98,-10.09,0.0,67.44,0.55,0.57,0.57
2019,45,-2.18,-6.2,2.9,-7.68,0.12,67.69,0.56,0.58,0.58
2019,46,-6.12,-7.92,-4.47,-7.77,2.5,90.94,0.56,0.58,0.57
2019,47,-5.23,-11.04,-0.57,-9.77,0.44,71.62,0.56,0.58,0.57
2019,48,-2.49,-11.01,6.26,-10.72,0.06,53.81,0.56,0.58,0.59
2019,49,-4.56,-6.86,-2.75,-6.66,0.98,87.44,0.57,0.59,0.58
2019,50,-3.95,-8.29,1.8,-9.67,0.02,66.0,0.57,0.59,0.59
2019,51,-2.36,-8.33,5.57,-10.6,0.52,55.25,0.57,0.59,0.59
2019,52,-9.4,-11.45,-7.88,-11.61,4.58,86.5,0.57,0.59,0.59
2019,53,-8.7,-13.71,-2.56,-13.38,0.22,71.06,0.57,0.59,0.59
2019,54,-5.11,-11.67,2.79,-16.1,0.0,40.5,0.57,0.59,0.59
2019,55,-4.16,-10.94,3.05,-13.87,0.0,46.38,0.58,0.59,0.59
2019,56,-3.95,-9.31,1.51,-12.17,0.0,52.94,0.58,0.59,0.59
2019,57,-3.31,-10.42,3.2,-11.63,0.0,53.44,0.58,0.59,0.59
2019,58,-3.15,-8.95,3.19,-11.47,0.0,53.94,0.58,0.59,0.59
