YEAR,DOY,T2M,T2M_MIN,T2M_MAX,T2MDEW,PRECTOTCORR,RH2M,GWETPROF,GWETROOT,GWETTOP
2019,1,-16.62,-22.2,-9.25,-21.08,0.0,68.0,0.53,0.53,0.52
2019,2,-14.9,-19.52,-9.04,-19.7,0.0,66.31,0.53,0.53,0.52
2019,3,-14.97,-20.65,-10.38,-18.45,0.06,75.31,0.53,0.53,0.52
2019,4,-14.12,-17.23,-9.06,-19.21,0.0,65.12,0.53,0.53,0.51
2019,5,-15.5,-19.69,-10.31,-20.42,0.0,64.56,0.53,0.53,0.51
2019,6,-16.07,-21.2,-11.7,-20.56,0.0,67.88,0.53,0.53,0.51
2019,7,-15.13,-18.56,-9.39,-19.83,0.0,66.25,0.53,0.53,0.51
2019,8,-14.87,-19.6,-7.7,-20.1,0.0,63.94,0.53,0.53,0.51
2019,9,-12.08,-17.91,-3.31,-17.27,0.0,65.75,0.52,0.53,0.51
2019,10,-10.2,-15.49,-4.35,-15.6,0.0,66.62,0.52,0.53,0.51
2019,11,-11.06,-14.58,-4.77,-14.54,0.0,78.0,0.52,0.53,0.51
2019,12,-11.96,-15.77,-6.06,-14.0,0.0,85.69,0.52,0.53,0.51
2019,13,-12.55,-15.79,-7.31,-15.24,0.0,81.06,0.52,0.53,0.51
2019,14,-11.49,-15.81,-6.63,-14.91,0.01,77.25,0.52,0.53,0.51
2019,15,-14.29,-17.57,-10.22,-21.47,0.0,53.25,0.52,0.53,0.51
2019,16,-12.0,-15.79,-6.02,-18.1,0.0,59.38,0.52,0.53,0.51
2019,17,-15.99,-20.1,-11.2,-23.42,0.0,52.44,0.52,0.53,0.51
2019,18,-14.64,-19.55,-7.62,-21.03,0.0,57.5,0.52,0.53,0.51
2019,19,-11.96,-17.07,-4.02,-16.78,0.0,69.0,0.52,0.52,0.51
2019,20,-11.64,-16.68,-4.75,-16.61,0.0,66.88,0.52,0.52,0.51
2019,21,-9.36,-14.23,-2.11,-14.21,0.0,69.44,0.52,0.52,0.51
2019,22,-6.65,-11.48,1.58,-12.42,0.0,66.62,0.52,0.52,0.51
2019,23,-9.84,-13.63,-3.57,-16.52,0.0,59.38,0.52,0.52,0.51
2019,24,-9.51,-13.09,-5.02,-16.66,0.0,55.69,0.52,0.52,0.51
2019,25,-10.28,-14.46,-4.0,-16.18,0.0,61.81,0.52,0.52,0.51
2019,26,-10.14,-15.95,-2.47,-15.35,0.0,66.62,0.52,0.52,0.51
2019,27,-7.08,-12.6,-0.32,-13.95,0.02,59.5,0.52,0.52,0.51
2019,28,-8.92,-12.7,-3.46,-15.57,0.0,58.62,0.52,0.52,0.5
2019,29,-7.45,-13.0,0.9,-13.3,0.0,63.88,0.52,0.52,0.51
2019,30,-13.84,-17.74,-9.65,-22.49,0.01,46.44,0.52,0.52,0.5
2019,31,-13.92,-19.92,-6.0,-20.35,0.0,58.31,0.52,0.52,0.51
2019,32,-11.87,-17.67,-4.63,-17.74,0.0,61.81,0.52,0.52,0.51
2019,33,-9.87,-12.88,-3.73,-13.59,0.0,75.81,0.52,0.52,0.51
2019,34,-13.64,-19.62,-8.52,-22.07,0.0,50.81,0.52,0.52,0.5
2019,35,-16.57,-22.15,-11.34,-23.86,0.0,52.38,0.52,0.52,0.5
2019,36,-16.96,-22.74,-11.87,-24.77,0.0,50.44,0.52,0.52,0.51
2019,37,-19.3,-23.39,-14.39,-28.36,0.0,44.06,0.52,0.52,0.5
2019,38,-20.07,-24.72,-14.33,-28.24,0.0,46.44,0.52,0.52,0.5
2019,39,-17.45,-23.3,-10.01,-23.77,0.0,56.94,0.52,0.52,0.5
2019,40,-15.16,-20.98,-7.64,-21.26,0.0,59.12,0.52,0.52,0.5
2019,41,-14.82,-21.02,-7.01,-21.08,0.0,59.25,0.52,0.52,0.5
2019,42,-15.1,-19.92,-9.02,-22.09,0.0,54.38,0.52,0.52,0.5
2019,43,-14.63,-20.97,-7.63,-21.92,0.0,53.0,0.52,0.52,0.5
2019,44,-13.98,-20.01,-7.29,-20.46,0.0,57.38,0.52,0.52,0.5
2019,45,-12.15,-19.51,-5.35,-19.04,0.03,57.62,0.52,0.52,0.5
2019,46,-9.72,-13.75,-4.23,-15.73,0.46,64.44,0.52,0.52,0.5
2019,47,-9.75,-17.15,-0.5,-16.36,0.0,60.0,0.52,0.52,0.5
2019,48,-6.61,-13.42,2.05,-12.99,0.0,63.12,0.52,0.52,0.5
