YEAR,DOY,T2M,T2M_MIN,T2M_MAX,T2MDEW,PRECTOTCORR,RH2M,GWETPROF,GWETROOT,GWETTOP
2019,1,-12.01,-14.88,-7.25,-15.08,0.0,79.5,0.57,0.56,0.34
2019,2,-9.43,-13.99,-2.27,-15.22,0.0,64.0,0.57,0.56,0.34
2019,3,-8.41,-12.84,-3.0,-14.57,0.0,61.75,0.57,0.56,0.34
2019,4,-9.58,-13.29,-5.22,-14.17,0.0,70.38,0.57,0.56,0.34
2019,5,-8.87,-12.7,-1.17,-13.97,0.0,68.94,0.57,0.56,0.34
2019,6,-8.02,-12.44,-0.97,-13.81,0.0,65.44,0.57,0.56,0.34
2019,7,-9.38,-14.49,-4.67,-14.09,0.0,69.62,0.57,0.56,0.34
2019,8,-11.72,-14.49,-6.29,-14.15,0.0,84.56,0.57,0.56,0.34
2019,9,-12.9,-16.7,-6.71,-14.67,0.0,85.19,0.57,0.56,0.34
2019,10,-11.12,-13.44,-6.41,-16.7,0.0,63.81,0.57,0.56,0.34
2019,11,-9.42,-13.03,-3.99,-15.13,0.0,63.56,0.57,0.56,0.34
2019,12,-7.17,-12.63,-0.17,-14.86,0.0,54.31,0.57,0.56,0.34
2019,13,-5.99,-10.16,0.31,-12.91,0.0,58.5,0.57,0.56,0.34
2019,14,-7.4,-11.32,-2.24,-12.8,0.0,66.12,0.57,0.56,0.34
2019,15,-9.12,-12.82,-3.65,-13.69,0.0,71.19,0.57,0.56,0.34
2019,16,-8.74,-13.85,-3.8,-12.96,0.01,73.81,0.57,0.56,0.34
2019,17,-5.39,-8.25,-1.41,-8.29,0.01,82.56,0.57,0.56,0.34
2019,18,-6.36,-9.75,-2.01,-8.46,0.0,86.69,0.57,0.56,0.34
2019,19,-6.65,-12.3,-0.2,-9.9,0.0,78.12,0.57,0.56,0.34
2019,20,-7.88,-12.73,-2.63,-10.77,0.0,82.56,0.57,0.56,0.34
2019,21,-10.73,-13.69,-6.15,-12.44,0.01,86.75,0.57,0.56,0.34
2019,22,-7.97,-13.95,0.48,-13.07,0.0,70.06,0.57,0.56,0.34
2019,23,-8.59,-11.52,-5.35,-13.14,0.0,70.62,0.57,0.56,0.34
2019,24,-6.8,-10.47,-1.06,-12.64,0.0,64.12,0.57,0.56,0.34
2019,25,-6.41,-10.06,-0.99,-11.9,0.0,66.25,0.57,0.56,0.34
2019,26,-6.72,-10.7,0.04,-11.97,0.0,68.56,0.57,0.56,0.34
2019,27,-8.78,-14.01,-3.65,-12.19,0.0,77.56,0.57,0.56,0.34
2019,28,-7.59,-12.63,-1.1,-12.01,0.01,73.25,0.57,0.56,0.34
2019,29,-9.45,-14.4,-3.87,-19.54,0.07,44.12,0.57,0.56,0.34
2019,30,-13.1,-18.81,-6.5,-26.32,0.0,30.19,0.57,0.56,0.34
2019,31,-13.25,-18.91,-6.06,-22.79,0.0,42.12,0.57,0.56,0.34
2019,32,-9.29,-14.49,-3.78,-17.81,0.12,47.5,0.57,0.56,0.34
2019,33,-6.42,-11.64,-0.35,-14.83,0.0,51.62,0.57,0.56,0.34
2019,34,-7.58,-11.85,-0.7,-14.49,0.0,57.56,0.57,0.56,0.34
2019,35,-6.55,-11.91,0.33,-13.89,0.0,57.06,0.57,0.56,0.34
2019,36,-3.04,-6.94,2.83,-13.56,0.0,42.44,0.57,0.56,0.34
2019,37,-4.4,-9.24,1.58,-12.03,0.21,56.31,0.57,0.56,0.34
2019,38,-6.0,-11.37,0.73,-15.18,0.0,49.0,0.57,0.56,0.34
2019,39,-6.59,-12.27,-0.87,-16.57,0.0,43.38,0.57,0.56,0.34
2019,40,-6.38,-9.79,-3.15,-9.77,0.0,79.0,0.57,0.56,0.34
2019,41,-7.44,-11.94,-1.02,-12.13,0.0,72.0,0.57,0.56,0.34
2019,42,-3.45,-10.13,3.49,-13.77,0.0,46.06,0.57,0.56,0.34
2019,43,-2.65,-6.08,2.8,-12.41,0.0,46.25,0.57,0.56,0.34
2019,44,-3.93,-10.28,3.15,-13.91,0.03,48.12,0.57,0.56,0.34
2019,45,-3.43,-7.71,2.31,-16.1,0.0,34.5,0.57,0.56,0.34
2019,46,-4.44,-8.03,1.8,-16.12,0.0,37.75,0.57,0.56,0.34
2019,47,-3.42,-7.08,0.43,-13.85,0.0,42.81,0.57,0.56,0.34
2019,48,-3.49,-7.64,0.51,-10.88,0.0,56.38,0.57,0.56,0.34
2019,49,-3.38,-7.16,1.34,-11.97,0.0,51.38,0.57,0.56,0.34
2019,50,-2.54,-6.2,1.89,-11.54,0.0,49.38,0.57,0.56,0.34
2019,51,-0.98,-5.17,3.86,-9.51,0.0,53.56,0.57,0.56,0.34
2019,52,0.38,-4.62,6.77,-10.68,0.0,43.0,0.57,0.56,0.34
2019,53,0.17,-2.56,4.97,-11.58,0.08,39.38,0.57,0.56,0.33
2019,54,-0.89,-2.8,2.33,-9.76,0.01,50.25,0.57,0.56,0.33
2019,55,-0.52,-4.4,3.76,-9.7,0.0,49.94,0.57,0.56,0.33
2019,56,0.67,-2.81,5.24,-10.85,0.0,40.75,0.57,0.56,0.33
2019,57,-0.06,-4.52,5.39,-11.48,0.0,41.25,0.57,0.56,0.32
2019,58,-0.17,-3.74,4.42,-13.05,0.0,35.75,0.57,0.56,0.32
2019,59,0.28,-3.34,5.65,-11.38,0.0,40.19,0.57,0.56,0.32
2019,60,0.89,-3.13,6.34,-11.02,0.0,39.75,0.57,0.56,0.32
2019,61,2.23,-1.81,7.87,-11.21,0.0,35.44,0.57,0.56,0.31
2019,62,3.85,-1.24,11.5,-12.02,0.0,30.0,0.57,0.56,0.31
2019,63,3.76,-0.88,10.26,-12.95,0.0,27.06,0.57,0.56,0.3
2019,64,3.89,-0.7,12.08,-13.2,0.0,26.75,0.56,0.56,0.3
2019,65,4.96,-0.1,10.63,-12.7,0.0,25.94,0.56,0.56,0.3
2019,66,4.91,-0.5,12.16,-9.74,0.0,34.12,0.56,0.56,0.3
2019,67,3.8,-1.27,11.83,-9.19,0.0,39.56,0.56,0.56,0.29
2019,68,3.46,-1.62,9.32,-8.04,0.0,42.31,0.56,0.56,0.29
2019,69,4.08,-1.93,11.46,-10.07,0.0,36.19,0.56,0.56,0.29
2019,70,4.11,-1.27,11.46,-11.34,0.0,30.88,0.56,0.56,0.28
2019,71,4.65,-1.11,11.12,-9.95,0.0,34.25,0.56,0.56,0.28
2019,72,5.7,0.08,11.89,-9.21,0.0,33.69,0.56,0.56,0.28
