YEAR,DOY,T2M,T2M_MIN,T2M_MAX,T2MDEW,PRECTOTCORR,RH2M,GWETPROF,GWETROOT,GWETTOP
2019,1,-2.68,-7.81,4.71,-8.97,0.07,64.06,0.56,0.56,0.56
2019,2,-5.53,-7.04,-3.52,-7.48,0.66,89.31,0.56,0.56,0.55
2019,3,-5.24,-7.94,-0.6,-10.31,0.19,70.69,0.56,0.56,0.55
2019,4,-4.4,-9.28,1.3,-13.41,0.37,48.88,0.56,0.56,0.55
2019,5,-6.04,-7.56,-3.79,-7.7,0.01,90.75,0.56,0.56,0.55
2019,6,-5.64,-9.05,-0.67,-8.86,0.0,79.62,0.56,0.56,0.55
2019,7,-3.92,-12.03,3.35,-14.98,0.01,42.62,0.56,0.56,0.55
2019,8,-2.97,-5.6,1.91,-6.02,3.34,82.94,0.56,0.56,0.56
2019,9,-5.7,-9.8,-1.86,-7.31,0.53,90.94,0.56,0.56,0.55
2019,10,-4.99,-11.68,2.57,-12.81,0.11,56.69,0.56,0.56,0.56
2019,11,-5.63,-8.32,-2.24,-8.22,1.7,85.19,0.56,0.56,0.55
2019,12,-8.75,-10.79,-5.94,-10.65,1.93,88.81,0.56,0.56,0.55
2019,13,-9.59,-15.22,-1.93,-15.31,0.0,64.12,0.56,0.56,0.55
2019,14,-5.67,-14.63,2.9,-18.95,0.0,33.25,0.56,0.56,0.56
2019,15,-2.37,-5.93,2.31,-6.31,2.87,78.69,0.56,0.57,0.56
2019,16,-3.67,-6.72,-0.63,-4.94,2.98,92.94,0.57,0.57,0.56
2019,17,-5.9,-11.02,0.6,-8.85,2.09,82.19,0.57,0.57,0.57
2019,18,-4.81,-13.41,3.48,-12.3,0.0,56.62,0.57,0.57,0.57
2019,19,-2.59,-5.92,1.83,-5.22,0.05,84.0,0.57,0.57,0.56
2019,20,-3.96,-7.56,2.83,-11.01,0.15,59.0,0.57,0.58,0.56
2019,21,-8.07,-11.85,-5.27,-10.39,0.83,86.75,0.57,0.58,0.56
2019,22,-8.31,-12.45,-2.9,-12.51,0.36,73.44,0.57,0.58,0.56
2019,23,-7.37,-10.46,-2.0,-11.63,0.0,73.81,0.57,0.58,0.56
2019,24,-7.96,-11.63,-3.62,-11.55,0.0,77.75,0.57,0.58,0.56
2019,25,-9.16,-15.47,-0.27,-15.3,0.0,64.31,0.57,0.58,0.56
2019,26,-8.18,-15.1,-0.31,-16.24,0.0,51.94,0.58,0.58,0.56
2019,27,-7.45,-11.93,-0.89,-15.38,0.0,52.44,0.58,0.58,0.56
2019,28,-7.31,-14.18,-0.08,-15.11,0.0,53.5,0.58,0.58,0.56
2019,29,-4.74,-8.59,1.47,-10.1,0.0,67.12,0.58,0.58,0.56
2019,30,-3.52,-5.44,-0.6,-7.9,0.4,73.19,0.58,0.58,0.56
2019,31,-4.42,-7.77,-1.38,-5.02,4.31,96.31,0.58,0.58,0.57
2019,32,-6.85,-12.22,-2.84,-8.03,2.35,92.88,0.58,0.58,0.56
2019,33,-6.34,-12.79,0.6,-13.06,0.0,60.0,0.58,0.58,0.57
2019,34,-3.64,-8.19,1.66,-8.17,0.0,71.94,0.58,0.58,0.57
2019,35,-2.42,-5.12,1.37,-5.92,0.9,78.31,0.58,0.59,0.57
2019,36,-3.95,-9.31,-0.72,-5.22,5.56,93.69,0.58,0.59,0.57
2019,37,-11.5,-14.97,-8.86,-12.6,9.8,95.94,0.58,0.59,0.56
2019,38,-12.32,-15.31,-8.16,-14.31,0.18,88.12,0.58,0.59,0.57
2019,39,-13.55,-18.31,-8.02,-15.56,0.86,86.88,0.58,0.59,0.57
2019,40,-8.82,-18.57,-0.94,-14.54,0.01,63.44,0.58,0.59,0.57
2019,41,-4.26,-7.84,0.36,-7.79,0.12,77.75,0.59,0.59,0.58
2019,42,-2.84,-5.4,0.44,-4.31,0.34,91.75,0.59,0.59,0.58
2019,43,-1.96,-4.5,2.27,-4.44,0.44,85.25,0.59,0.59,0.59
2019,44,0.37,-3.61,4.92,-2.49,0.23,82.44,0.59,0.59,0.6
2019,45,-3.63,-7.5,-0.63,-4.96,2.36,93.25,0.59,0.6,0.59
2019,46,-6.39,-7.88,-4.0,-8.5,1.3,88.62,0.6,0.6,0.59
2019,47,-5.95,-9.66,-0.2,-10.81,0.0,72.0,0.6,0.6,0.59
2019,48,-4.41,-9.75,0.99,-9.19,0.47,71.94,0.6,0.6,0.59
2019,49,-5.19,-8.64,-0.95,-8.32,0.54,82.31,0.6,0.61,0.59
2019,50,-4.08,-9.57,1.65,-11.85,0.0,59.25,0.6,0.61,0.6
2019,51,-4.0,-7.88,0.94,-10.57,1.87,63.38,0.61,0.61,0.6
2019,52,-9.42,-12.63,-7.02,-11.51,4.16,87.88,0.61,0.61,0.59
2019,53,-9.4,-17.77,-0.06,-15.86,0.0,63.44,0.61,0.61,0.6
2019,54,-6.52,-14.1,2.02,-16.29,0.0,46.38,0.61,0.62,0.61
2019,55,-4.98,-10.84,1.06,-14.75,0.0,45.88,0.62,0.62,0.61
2019,56,-4.61,-7.27,-1.14,-9.72,0.0,69.19,0.62,0.62,0.61
2019,57,-3.7,-8.32,1.05,-9.99,0.0,64.06,0.62,0.62,0.61
2019,58,-3.57,-6.35,-0.02,-9.58,0.0,64.56,0.62,0.62,0.61
2019,59,-1.27,-7.83,5.29,-12.26,0.0,45.5,0.62,0.62,0.61
2019,60,0.3,-2.13,5.29,-8.24,0.0,53.25,0.62,0.62,0.61
2019,61,1.6,-3.44,9.53,-5.54,0.76,63.19,0.62,0.62,0.61
2019,62,-0.88,-2.85,2.53,-4.35,1.29,78.94,0.62,0.62,0.62
2019,63,-0.94,-4.0,3.2,-5.45,0.26,73.56,0.62,0.62,0.61
2019,64,-1.77,-4.16,0.57,-6.1,1.88,73.69,0.62,0.62,0.62
2019,65,-1.35,-6.13,4.02,-8.56,0.0,59.12,0.62,0.62,0.62
2019,66,-0.86,-6.41,4.55,-7.77,0.0,61.19,0.62,0.62,0.62
2019,67,-0.98,-3.17,2.78,-5.63,0.06,71.69,0.62,0.62,0.61
2019,68,-0.99,-3.15,2.21,-4.28,1.31,80.5,0.62,0.62,0.62
2019,69,-0.53,-3.74,3.62,-6.62,0.0,65.12,0.62,0.62,0.61
2019,70,0.68,-4.43,7.21,-7.9,0.0,54.81,0.62,0.62,0.61
2019,71,0.85,-2.48,4.9,-4.85,0.0,66.19,0.62,0.62,0.61
2019,72,2.49,-2.58,8.21,-5.69,0.0,57.25,0.62,0.62,0.62
2019,73,1.98,-3.42,8.01,-8.17,0.0,48.0,0.62,0.62,0.61
2019,74,2.33,-2.49,8.01,-7.01,0.0,50.88,0.62,0.62,0.61
2019,75,4.99,-2.8,12.9,-7.29,0.0,44.0,0.62,0.62,0.61
2019,76,4.55,-0.16,11.31,-3.38,0.0,59.69,0.62,0.62,0.61
2019,77,6.68,-0.67,13.62,-3.66,0.0,53.5,0.62,0.62,0.61
2019,78,3.44,0.34,6.9,-0.46,0.12,77.44,0.62,0.62,0.61
2019,79,2.35,-0.95,7.1,-1.17,1.41,79.81,0.62,0.62,0.62
2019,80,1.7,-1.13,5.01,-2.81,2.1,72.81,0.62,0.62,0.62
